function,optimizer,min_abs_loss,last_abs_loss,rank
Rotated Hyper-Ellipsoid Function,Yogi,0.0,1.2113355498245652e-14,1.0
Rotated Hyper-Ellipsoid Function,Rprop,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,RPropMomentum,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,RpropwithPolyak,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,SGDPolyakMomentum,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,ProxYogi,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,ProximalHB,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,AdamQN,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,AMSGradMirror,0.0,0.0,1.0
Sphere Function,SGD,0.0,0.0,1.0
Sphere Function,Adam,0.0,0.0,1.0
Sphere Function,AdamW,0.0,0.0,1.0
Sphere Function,RMSprop,0.0,0.0,1.0
Sphere Function,Yogi,0.0,5.9491960443798335e-15,1.0
Sphere Function,Rprop,0.0,0.0,1.0
Sphere Function,RPropMomentum,0.0,0.0,1.0
Sphere Function,RpropwithPolyak,0.0,0.0,1.0
Sphere Function,SGDPolyakMomentum,0.0,0.0,1.0
Sphere Function,ProxYogi,0.0,0.0,1.0
Sphere Function,ProximalHB,0.0,0.0,1.0
Sphere Function,AdamQN,0.0,0.0,1.0
Sphere Function,AMSGradMirror,0.0,0.0,1.0
Sum of Different Powers Function,SGD,0.0,0.0,1.0
Sum of Different Powers Function,Adam,0.0,0.0,1.0
Sum of Different Powers Function,AdamW,0.0,0.0,1.0
Sum of Different Powers Function,RMSprop,0.0,0.0,1.0
Sum of Different Powers Function,Yogi,0.0,5.974148553739117e-24,1.0
Sum of Different Powers Function,Rprop,0.0,0.0,1.0
Sum of Different Powers Function,RPropMomentum,0.0,0.0,1.0
Sum of Different Powers Function,RpropwithPolyak,0.0,0.0,1.0
Sum of Different Powers Function,SGDPolyakMomentum,0.0,0.0,1.0
Sum of Different Powers Function,ProxYogi,0.0,0.0,1.0
Sum of Different Powers Function,ProximalHB,0.0,0.0,1.0
Sum of Different Powers Function,AdamQN,0.0,0.0,1.0
Sum of Different Powers Function,AMSGradMirror,0.0,0.0,1.0
Sum Squares Function,SGD,0.0,0.0,1.0
Sum Squares Function,Adam,0.0,0.0,1.0
Sum Squares Function,AdamW,0.0,0.0,1.0
Sum Squares Function,RMSprop,0.0,0.0,1.0
Sum Squares Function,Yogi,0.0,2.9974196308877894e-15,1.0
Sum Squares Function,Rprop,0.0,0.0,1.0
Sum Squares Function,RPropMomentum,0.0,0.0,1.0
Sum Squares Function,RpropwithPolyak,0.0,0.0,1.0
Sum Squares Function,SGDPolyakMomentum,0.0,0.0,1.0
Sum Squares Function,ProxYogi,0.0,0.0,1.0
Sum Squares Function,ProximalHB,0.0,0.0,1.0
Sum Squares Function,AdamQN,0.0,0.0,1.0
Sum Squares Function,AMSGradMirror,0.0,0.0,1.0
Trid Function,SGD,0.020079970359802246,0.30479681491851807,1.0
Trid Function,Rprop,0.05240669846534729,1.999924898147583,2.0
Trid Function,RPropMomentum,0.05240669846534729,2.0,2.0
Trid Function,RpropwithPolyak,0.05240669846534729,1.999924898147583,2.0
Trid Function,ProximalHB,0.12434026598930359,1.9822299480438232,5.0
Trid Function,ProxYogi,1.0065301656723022,1.0065301656723022,6.0
Trid Function,RMSprop,1.496623158454895,1.496623158454895,7.0
Trid Function,AMSGradMirror,1.6802128553390503,1.6802128553390503,8.0
Trid Function,SGDPolyakMomentum,1.6902081966400146,1.6902081966400146,9.0
Trid Function,AdamQN,1.7585999965667725,1.7585999965667725,10.0
Trid Function,Adam,1.8069608211517334,1.8069608211517334,11.0
Trid Function,AdamW,1.8070064783096313,1.8070064783096313,12.0
Trid Function,Yogi,1.8081963062286377,1.8081963062286377,13.0
Booth Function,RPropMomentum,0.0015662843361496925,0.0015662843361496925,1.0
Booth Function,ProximalHB,0.028344621881842613,0.32038646936416626,2.0
Booth Function,Rprop,0.16241329908370972,0.16241329908370972,3.0
Booth Function,RpropwithPolyak,0.16241329908370972,0.16241329908370972,3.0
Booth Function,SGD,0.48525017499923706,0.7066692113876343,5.0
Booth Function,SGDPolyakMomentum,15.471305847167969,15.471305847167969,6.0
Booth Function,ProxYogi,56.0540771484375,56.0540771484375,7.0
Booth Function,RMSprop,64.93919372558594,64.93919372558594,8.0
Booth Function,AMSGradMirror,68.24382781982422,68.24382781982422,9.0
Booth Function,AdamQN,69.6548080444336,69.6548080444336,10.0
Booth Function,Adam,70.5252914428711,70.5252914428711,11.0
Booth Function,AdamW,70.526123046875,70.526123046875,12.0
Booth Function,Yogi,70.5458984375,70.5458984375,13.0
Matyas Function,SGD,0.0,0.0,1.0
Matyas Function,Adam,0.0,0.0,1.0
Matyas Function,AdamW,0.0,0.0,1.0
Matyas Function,RMSprop,0.0,0.0,1.0
Matyas Function,Yogi,0.0,6.462988781305579e-14,1.0
Matyas Function,Rprop,0.0,0.0,1.0
Matyas Function,RPropMomentum,0.0,0.0,1.0
Matyas Function,RpropwithPolyak,0.0,0.0,1.0
Matyas Function,SGDPolyakMomentum,0.0,0.0,1.0
Matyas Function,ProxYogi,0.0,0.0,1.0
Matyas Function,ProximalHB,0.0,0.0,1.0
Matyas Function,AdamQN,0.0,0.0,1.0
Matyas Function,AMSGradMirror,0.0,0.0,1.0
McCormick Function,ProximalHB,0.01774013042449951,1.7609593868255615,1.0
McCormick Function,RPropMomentum,0.15585064888000488,1.9128928184509277,2.0
McCormick Function,Rprop,0.17032098770141602,1.9112224578857422,3.0
McCormick Function,RpropwithPolyak,0.17032098770141602,1.9112224578857422,3.0
McCormick Function,ProxYogi,1.6655688285827637,1.6655688285827637,5.0
McCormick Function,SGD,1.6935057640075684,1.6935057640075684,6.0
McCormick Function,RMSprop,1.8122828006744385,1.8122828006744385,7.0
McCormick Function,AMSGradMirror,1.862849235534668,1.862849235534668,8.0
McCormick Function,AdamQN,1.8741258382797241,1.8741258382797241,9.0
McCormick Function,AdamW,1.882697343826294,1.882697343826294,10.0
McCormick Function,Adam,1.8828628063201904,1.8828628063201904,11.0
McCormick Function,Yogi,1.8830891847610474,1.8830891847610474,12.0
McCormick Function,SGDPolyakMomentum,1.8951038122177124,1.8951038122177124,13.0
Power Sum Function,RPropMomentum,3.892825126647949,3.892825126647949,1.0
Power Sum Function,ProximalHB,3.892943859100342,4.24908447265625,2.0
Power Sum Function,Rprop,3.8958961963653564,3.9074149131774902,3.0
Power Sum Function,RpropwithPolyak,3.8958961963653564,3.9074149131774902,3.0
Power Sum Function,SGD,3.942744016647339,8.342361450195312,5.0
Power Sum Function,SGDPolyakMomentum,202.2219696044922,202.2219696044922,6.0
Power Sum Function,ProxYogi,372.5870666503906,372.5870666503906,7.0
Power Sum Function,RMSprop,382.0401611328125,382.0401611328125,8.0
Power Sum Function,AMSGradMirror,384.79071044921875,384.79071044921875,9.0
Power Sum Function,AdamQN,385.78399658203125,385.78399658203125,10.0
Power Sum Function,Adam,386.2257385253906,386.2257385253906,11.0
Power Sum Function,AdamW,386.2261657714844,386.2261657714844,12.0
Power Sum Function,Yogi,386.2371826171875,386.2371826171875,13.0
Zakharov Function,Rprop,2.787921403069049e-06,0.000301283405860886,1.0
Zakharov Function,RpropwithPolyak,2.787921403069049e-06,0.000301283405860886,1.0
Zakharov Function,RPropMomentum,1.0596610991342459e-05,2.1832067432114854e-05,3.0
Zakharov Function,ProximalHB,0.007730837911367416,0.6360706686973572,4.0
Zakharov Function,SGD,0.42167237401008606,0.6891937255859375,5.0
Zakharov Function,SGDPolyakMomentum,2.0612845420837402,2.0612845420837402,6.0
Zakharov Function,ProxYogi,148.47129821777344,148.47129821777344,7.0
Zakharov Function,RMSprop,184.1491241455078,184.1491241455078,8.0
Zakharov Function,AMSGradMirror,198.185546875,198.185546875,9.0
Zakharov Function,AdamQN,204.3392333984375,204.3392333984375,10.0
Zakharov Function,AdamW,207.95172119140625,207.95172119140625,11.0
Zakharov Function,Adam,208.33653259277344,208.33653259277344,12.0
Zakharov Function,Yogi,208.42922973632812,208.42922973632812,13.0
Three-Hump Camel Function,SGD,0.0,0.0,1.0
Three-Hump Camel Function,Adam,0.0,0.0,1.0
Three-Hump Camel Function,AdamW,0.0,0.0,1.0
Three-Hump Camel Function,RMSprop,0.0,0.0,1.0
Three-Hump Camel Function,Yogi,0.0,5.213133730578266e-15,1.0
Three-Hump Camel Function,Rprop,0.0,0.0,1.0
Three-Hump Camel Function,RPropMomentum,0.0,0.0,1.0
Three-Hump Camel Function,RpropwithPolyak,0.0,0.0,1.0
Three-Hump Camel Function,SGDPolyakMomentum,0.0,0.0,1.0
Three-Hump Camel Function,ProxYogi,0.0,0.0,1.0
Three-Hump Camel Function,ProximalHB,0.0,0.0,1.0
Three-Hump Camel Function,AdamQN,0.0,0.0,1.0
Three-Hump Camel Function,AMSGradMirror,0.0,0.0,1.0
Six-Hump Camel Function,SGD,0.0,0.0,1.0
Six-Hump Camel Function,Adam,0.0,0.0,1.0
Six-Hump Camel Function,AdamW,0.0,0.0,1.0
Six-Hump Camel Function,RMSprop,0.0,0.0,1.0
Six-Hump Camel Function,Yogi,0.0,0.0027504535391926765,1.0
Six-Hump Camel Function,Rprop,0.0,0.0,1.0
Six-Hump Camel Function,RPropMomentum,0.0,0.0,1.0
Six-Hump Camel Function,RpropwithPolyak,0.0,0.0,1.0
Six-Hump Camel Function,SGDPolyakMomentum,0.0,0.0,1.0
Six-Hump Camel Function,ProxYogi,0.0,0.0,1.0
Six-Hump Camel Function,ProximalHB,0.0,0.0,1.0
Six-Hump Camel Function,AdamQN,0.0,0.0,1.0
Six-Hump Camel Function,AMSGradMirror,0.0,0.0,1.0
Dixon-Price Function,SGD,0.6666666269302368,0.667864203453064,1.0
Dixon-Price Function,Rprop,0.6666666269302368,0.6666666865348816,1.0
Dixon-Price Function,RPropMomentum,0.6666666269302368,0.6666666865348816,1.0
Dixon-Price Function,RpropwithPolyak,0.6666666269302368,0.6666666865348816,1.0
Dixon-Price Function,ProximalHB,0.6666670441627502,0.6680251955986023,5.0
Dixon-Price Function,ProxYogi,0.6965413689613342,0.6965413689613342,6.0
Dixon-Price Function,RMSprop,0.8018425107002258,0.8018425107002258,7.0
Dixon-Price Function,AMSGradMirror,0.8601655960083008,0.8601655960083008,8.0
Dixon-Price Function,SGDPolyakMomentum,0.8688119649887085,0.8688119649887085,9.0
Dixon-Price Function,AdamQN,0.8886990547180176,0.8886990547180176,10.0
Dixon-Price Function,Adam,0.9107491970062256,0.9107491970062256,11.0
Dixon-Price Function,AdamW,0.9107688665390015,0.9107688665390015,12.0
Dixon-Price Function,Yogi,0.9112874865531921,0.9112874865531921,13.0
Rosenbrock Function,SGDPolyakMomentum,0.014435650780797005,2.813309907913208,1.0
Rosenbrock Function,RPropMomentum,0.6251375675201416,0.6251375675201416,2.0
Rosenbrock Function,Rprop,0.6258435845375061,0.6274511814117432,3.0
Rosenbrock Function,RpropwithPolyak,0.6258435845375061,0.6274511814117432,3.0
Rosenbrock Function,SGD,287.3128967285156,,5.0
Rosenbrock Function,ProxYogi,529.6980590820312,529.6980590820312,6.0
Rosenbrock Function,RMSprop,909.691650390625,909.691650390625,7.0
Rosenbrock Function,AMSGradMirror,1073.8907470703125,1073.8907470703125,8.0
Rosenbrock Function,AdamQN,1148.5867919921875,1148.5867919921875,9.0
Rosenbrock Function,AdamW,1197.2239990234375,1197.2239990234375,10.0
Rosenbrock Function,Adam,1200.4508056640625,1200.4508056640625,11.0
Rosenbrock Function,Yogi,1201.643798828125,1201.643798828125,12.0
Rosenbrock Function,ProximalHB,1408.5,,13.0
De Jong Function N. 5,SGD,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,Adam,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,AdamW,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,RMSprop,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,Yogi,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,Rprop,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,RPropMomentum,12.670506477355957,12.670506477355957,1.0
De Jong Function N. 5,RpropwithPolyak,12.670506477355957,12.670506477355957,1.0
